station_id,rmse_without_aod,rmse_with_aod,delta_rmse,mae_without_aod,mae_with_aod
demo_station_7,151.72,152.0,-0.28,150.12,150.41
kaggle_WB012,35.01,33.9,1.11,30.12,28.83
kaggle_WB009,26.12,25.78,0.34,24.5,24.13
demo_station_8,115.64,119.73,-4.09,114.52,118.64
demo_station_3,193.53,188.85,4.68,192.31,187.59
kaggle_WB013,132.45,133.17,-0.72,102.53,103.43
kaggle_WB010,37.73,34.91,2.82,31.9,28.52
demo_station_6,246.91,246.72,0.19,246.08,245.89
kaggle_WB011,97.09,97.88,-0.79,78.5,79.49
demo_station_5,109.88,109.53,0.35,108.03,107.68
demo_station_4,193.42,190.36,3.06,192.47,189.4
demo_station_1,243.86,246.77,-2.91,242.72,245.65
demo_station_2,242.53,243.93,-1.4,242.04,243.44
