station_id,actual,idw_pred,idw_abs_error,nearest_pred,nearest_abs_error
ahmedabad_bopal,142.5,150.3,7.8,152.2,9.7
ahmedabad_chandkheda,153.3,126.3,27.0,121.6,31.7
ahmedabad_maninagar,147.4,162.2,14.8,174.4,27.0
ahmedabad_navrangpura,155.8,135.4,20.4,131.4,24.4
ahmedabad_pirana,171.2,142.3,28.9,122.5,48.7
bengaluru_electronic_city,51.9,91.2,39.3,93.4,41.5
bengaluru_jayanagar,75.1,97.1,22.0,82.6,7.5
bengaluru_mg_road,57.7,69.5,11.8,55.4,2.3
bengaluru_peenya,62.8,105.3,42.5,154.2,91.4
bengaluru_whitefield,77.7,93.1,15.4,177.8,100.1
caaqm_103,168.0,272.5,104.5,294.8,126.8
caaqm_104,162.3,277.9,115.6,312.8,150.5
caaqm_105,141.2,243.2,102.0,151.7,10.5
caaqm_106,174.0,266.0,92.0,307.3,133.3
caaqm_107,171.9,298.5,126.6,298.5,126.6
caaqm_108,164.6,243.3,78.7,233.6,69.0
caaqm_109,162.1,311.9,149.8,311.9,149.8
caaqm_111,145.8,267.9,122.1,283.6,137.8
caaqm_113,151.7,237.8,86.1,171.9,20.2
caaqm_114,102.4,286.5,184.1,313.2,210.8
caaqm_115,128.1,261.5,133.4,307.3,179.2
caaqm_117,143.8,322.2,178.4,323.0,179.2
caaqm_118,159.7,287.5,127.8,317.1,157.4
caaqm_119,137.9,274.5,136.6,302.6,164.7
caaqm_122,299.7,282.0,17.7,277.5,22.2
caaqm_124,302.6,315.9,13.3,316.1,13.5
caaqm_125,293.7,318.9,25.2,318.9,25.2
caaqm_134,138.6,143.3,4.7,147.6,9.0
caaqm_136,152.2,148.6,3.6,147.8,4.4
caaqm_1390,146.2,158.6,12.4,153.0,6.8
caaqm_1391,158.6,232.2,73.6,229.4,70.8
caaqm_1392,132.3,137.9,5.6,136.9,4.6
caaqm_1393,153.1,143.3,9.8,138.6,14.5
caaqm_1394,184.4,152.1,32.3,143.0,41.4
caaqm_1395,171.5,153.2,18.3,153.0,18.5
caaqm_1396,137.7,147.0,9.3,147.6,9.9
caaqm_1397,149.7,160.6,10.9,158.3,8.6
caaqm_1398,243.2,250.0,6.8,252.1,8.9
caaqm_1399,90.0,101.2,11.2,99.3,9.3
caaqm_1400,214.3,158.4,55.9,158.1,56.2
caaqm_1401,177.4,158.6,18.8,148.5,28.9
caaqm_1402,252.7,208.0,44.7,209.3,43.4
caaqm_1403,214.7,179.3,35.4,179.4,35.3
caaqm_1404,190.4,165.7,24.7,165.5,24.9
caaqm_1406,100.7,89.5,11.2,89.5,11.2
caaqm_1408,157.2,143.9,13.3,143.0,14.2
caaqm_1410,159.6,142.8,16.8,138.7,20.9
caaqm_1416,184.3,158.4,25.9,154.6,29.7
caaqm_1418,193.2,167.6,25.6,166.7,26.5
caaqm_1419,172.6,160.6,12.0,159.6,13.0
caaqm_1420,323.7,268.8,54.9,301.3,22.4
caaqm_1421,316.6,257.2,59.4,294.8,21.8
caaqm_1422,307.3,243.8,63.5,174.0,133.3
caaqm_1423,312.8,260.8,52.0,162.3,150.5
caaqm_1424,297.8,252.7,45.1,162.1,135.7
caaqm_1425,287.9,273.1,14.8,143.8,144.1
caaqm_1426,288.9,266.0,22.9,320.2,31.3
caaqm_1427,293.1,241.5,51.6,230.1,63.0
caaqm_1428,294.8,248.2,46.6,168.0,126.8
caaqm_1429,299.9,261.4,38.5,297.8,2.1
caaqm_1430,317.1,237.1,80.0,159.7,157.4
caaqm_1431,278.6,268.4,10.2,336.7,58.1
caaqm_1432,321.2,258.4,62.8,162.3,158.9
caaqm_1433,116.7,207.4,90.7,207.8,91.1
caaqm_1434,301.3,276.5,24.8,323.7,22.4
caaqm_1435,313.2,230.2,83.0,102.4,210.8
caaqm_1437,217.6,168.0,49.6,165.9,51.7
caaqm_1438,187.8,157.3,30.5,157.3,30.5
caaqm_144,257.8,265.5,7.7,283.6,25.8
caaqm_1447,87.7,87.4,0.3,87.2,0.5
caaqm_1450,197.7,173.9,23.8,177.1,20.6
caaqm_146,218.2,202.8,15.4,188.1,30.1
caaqm_147,190.6,234.0,43.4,223.0,32.4
caaqm_153,278.4,252.7,25.7,256.5,21.9
caaqm_1538,100.2,201.8,101.6,205.5,105.3
caaqm_1541,243.6,205.8,37.8,185.8,57.8
caaqm_1542,253.9,232.2,21.7,232.2,21.7
caaqm_1549,207.8,169.1,38.7,165.2,42.6
caaqm_1550,235.5,227.9,7.6,227.6,7.9
caaqm_1551,74.3,86.5,12.2,77.7,3.4
caaqm_1553,93.1,78.4,14.7,81.1,12.0
caaqm_1554,89.8,75.1,14.7,81.1,8.7
caaqm_1555,87.0,79.6,7.4,75.1,11.9
